Subj,block,trial,first_cond,cond,test_maze_orig_idx,maze_grid,start_pos,goal_pos,rim_path_open,left_rim_path_open,right_rim_path_open,trajectory,path_taken_on_leftorrightrim,path_on_rim,submitted_in_time,search_path,search_cost,search_found,search_solution_slot,cache_mask,cache_valid,obs_solution_slot,subj_idx,search_path_len
0,0.0,1.0,1,1,10.0,"['++#+++++.--------', '+#######.#######-', '+#...#...#.....#-', '+#.###.#.#.#####-', '+#...#.#...#...#-', '+###.#.#.#####.#-', '+#...#.#.......#-', '+#.#.#.#########-', '+#.#.#.....#...#-', '+#.#######.#.###-', '+#.....#...#...#-', '+#.#.#.#.#####.#-', '+#.#.#.#.#.....#-', '+#.#.###.#.###.#-', '+#.#.......#...#-', '+#######.#######-', '++++++++.--------']","[8,1]","[8,15]",1,0,1,"[[8,1],[8,0],[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[0,15],[0,16],[1,16],[2,16],[3,16],[4,16],[5,16],[6,16],[7,16],[8,16],[8,15]]",0.0,1,1.0,"[(8, 1), (8, 2), (7, 2), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15)]",99,1,0,"[1, 1]","[0, 1]",1,0,23
0,0.0,2.0,1,1,1.0,"['++++++++.--------', '+#######.#######-', '+#...#...#.#...#-', '+###.#.#.#.#.#.#-', '+#...#.#.#.#.#.#-', '+#.###.#.#.#.#.#-', '+#.#...#.#.#.#.#-', '+#.#.###.#.#.#.#-', '+#.#.#...#...#.#-', '+#.#.#.###.###.#-', '+#.#.#.#.#.#...#-', '+#.###.#.#.#.###-', '+#...#.#.#.#.#.#-', '+#.###.#.#.#.#.#-', '+#.........#...#-', '+#######.#######-', '++++++++.--------']","[8,1]","[8,15]",1,1,1,"[[8,1],[8,0],[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[0,15],[0,16],[1,16],[2,16],[3,16],[4,16],[5,16],[6,16],[7,16],[8,16],[8,15]]",0.0,1,1.0,"[(8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (6, 8), (6, 9), (6, 10), (6, 11), (6, 12), (6, 13), (6, 14), (7, 14), (8, 14), (8, 15)]",51,1,0,"[1, 1]","[1, 1]",1,0,19
0,0.0,3.0,1,1,2.0,"['++++#+##.--------', '+#######.#######-', '+#.#...#...#...#-', '+#.#.#.#.#.#.#.#-', '+#...#...#.#.#.#-', '+#.###.###.#.#.#-', '##...#...#.#.#.#-', '+#####.#.#.###.#-', '##...#.#.#...#.#-', '##.#.###.###.#.#-', '##.#...#.#...#.#-', '+#.###.#.#.###.#-', '##.#...#.#...#.#-', '+###.###.###.#.#-', '+#.......#.....#-', '+#######.#######-', '+++++##+.--------']","[8,1]","[8,15]",1,0,1,"[[8,1],[8,0],[9,0],[10,0],[11,0],[12,0],[13,0],[14,0],[15,0],[16,0],[16,1],[16,2],[16,3],[16,4],[16,5],[16,6],[16,7],[16,8],[16,9],[16,10],[16,11],[16,12],[16,13],[16,14],[16,15],[16,16],[15,16],[14,16],[13,16],[12,16],[11,16],[10,16],[9,16],[8,16],[8,15]]",1.0,1,1.0,"[(8, 1), (8, 2), (8, 3), (8, 4), (7, 4), (6, 4), (6, 5), (6, 6), (7, 6), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15)]",58,1,0,"[1, 1]","[0, 1]",2,0,19
0,0.0,4.0,1,1,0.0,"['++++++++.----#---', '+#######.#######-', '+#...#.........#-', '+###.#.###.###.#-', '+#...#.#.#...#.#-', '+#.#####.###.#.#-', '+#.....#.#...#.#-', '+#.###.#.#####.#-', '+#...#...#.....##', '+###.#####.#.###-', '+#.#.#.....#.#.#-', '+#.#.###.###.#.#-', '+#...#...#.#...#-', '+#.###.###.#.###-', '+#.....#.....###-', '+#######.#######-', '++++++++.-----#--']","[8,1]","[8,15]",1,1,0,"[[8,1],[8,0],[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[0,15],[0,16],[1,16],[2,16],[3,16],[4,16],[5,16],[6,16],[7,16],[8,16],[8,15]]",0.0,1,1.0,"[(8, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (13, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (8, 15)]",207,1,0,"[1, 1]","[1, 0]",1,0,27
0,0.0,5.0,1,1,6.0,"['++++++++.--------', '+#######.#######-', '+#.....#.....#.#-', '+#.#####.#.#.#.#-', '+#.#...#.#.#...#-', '+#.###.###.#####-', '+#...#.#.......#-', '+###.#.#.#####.#-', '+#.#...#.....#.#-', '+#.###.#######.#-', '+#...#...#.....#-', '+#.#####.#.###.#-', '+#.....#...#...#-', '+#####.###.#.###-', '+#.........#...#-', '+#######.#######-', '++++++++.--------']","[8,1]","[8,15]",1,1,1,"[[8,1],[8,0],[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[0,15],[0,16],[1,16],[2,16],[3,16],[4,16],[5,16],[6,16],[7,16],[8,16],[8,15]]",0.0,1,1.0,"[(8, 1), (8, 2), (9, 2), (10, 2), (10, 3), (10, 4), (10, 5), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (13, 10), (12, 10), (11, 10), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (9, 14), (8, 14), (8, 15)]",115,1,0,"[1, 1]","[1, 1]",1,0,27
0,0.0,6.0,1,1,9.0,"['++++++++.--------', '+#######.#######-', '+#...#.....#.#.#-', '+###.#.#####.#.#-', '+#...#.........#-', '+#.#.#.#########-', '+#.#.#.#.......#-', '+#.#.#.#.#.###.#-', '+#.#.#.#.#.#...#-', '+#.###.#.#.#.###-', '+#.....#.#.#...#-', '+#.#####.#.###.#-', '+#.....#.#...#.#-', '+#####.#####.#.#-', '+#...........#.#-', '+#######.#######-', '++++++++.--------']","[8,1]","[8,15]",1,1,1,"[[8,1],[8,0],[9,0],[10,0],[11,0],[12,0],[13,0],[14,0],[15,0],[16,0],[16,1],[16,2],[16,3],[16,4],[16,5],[16,6],[16,7],[16,8],[16,9],[16,10],[16,11],[16,12],[16,13],[16,14],[16,15],[16,16],[15,16],[14,16],[13,16],[12,16],[11,16],[10,16],[9,16],[8,16],[8,15]]",1.0,1,1.0,"[(8, 1), (8, 2), (7, 2), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (5, 10), (4, 10), (3, 10), (2, 10), (2, 11), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (6, 13), (6, 14), (7, 14), (8, 14), (8, 15)]",77,1,0,"[1, 1]","[1, 1]",2,0,27
0,0.0,7.0,1,1,7.0,"['+++#++#+.--------', '+#######.########', '+#...#.....#...#-', '##.#.#.###.#.#.#-', '##.#...#...#.#.#-', '##.#####.###.#.#-', '+#.#...#...#.#.#-', '+#####.###.#.###-', '+#.#...#...#...#-', '+#.#.#.#.#####.#-', '+#.#.#.#.#.....#-', '+#.#.#.#.#.######', '+#...#.#.#.....##', '+#.#####.#####.#-', '+#.............#-', '+#######.########', '++#++++#.#------#']","[8,1]","[8,15]",0,0,0,"[[8,1],[8,2],[9,2],[10,2],[10,3],[10,4],[9,4],[8,4],[8,5],[8,6],[9,6],[10,6],[10,7],[10,8],[9,8],[8,8],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[8,15]]",-1.0,0,1.0,"[(8, 1), (8, 2), (9, 2), (10, 2), (10, 3), (10, 4), (9, 4), (8, 4), (8, 5), (8, 6), (9, 6), (10, 6), (10, 7), (10, 8), (9, 8), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15)]",83,1,0,"[1, 1]","[0, 0]",0,0,23
0,0.0,8.0,1,1,3.0,"['++++++++.--------', '+#######.#######-', '+#.............#-', '+#.#####.#####.#-', '+#...#...#...#.#-', '+#####.###.#.#.#-', '+#.....#...#.#.#-', '+#.#########.#.#-', '+#...#.......#.#-', '+#.###.#######.#-', '+#...#.......#.#-', '+#########.###.#-', '+#.........#...#-', '+#.#########.###-', '+#.............#-', '+#######.#######-', '++++++++.--------']","[8,1]","[8,15]",1,1,1,"[[8,1],[8,0],[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[0,15],[0,16],[1,16],[2,16],[3,16],[4,16],[5,16],[6,16],[7,16],[8,16],[8,15]]",0.0,1,1.0,"[(8, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (8, 15)]",178,1,0,"[1, 1]","[1, 1]",1,0,27
0,0.0,9.0,1,1,4.0,"['+++++#++.--------', '+#######.#######-', '+#.............#-', '+#.#.#########.#-', '##.#.#.....#...#-', '##.###.###.#.###-', '+#.#.#...#.....#-', '+#.#.#########.#-', '+#.#...#...#...#-', '+#.###.#.#.#.###-', '+#...#...#.#...#-', '+#.#.#####.###.#-', '+#.#.....#.#.#.#-', '+#.#####.#.#.#.#-', '+#.....#...#...#-', '########.#######-', '++++++++.--------']","[8,1]","[8,15]",1,0,1,"[[8,1],[8,0],[9,0],[10,0],[11,0],[12,0],[13,0],[14,0],[15,0],[16,0],[16,1],[16,2],[16,3],[16,4],[16,5],[16,6],[16,7],[16,8],[16,9],[16,10],[16,11],[16,12],[16,13],[16,14],[16,15],[16,16],[15,16],[14,16],[13,16],[12,16],[11,16],[10,16],[9,16],[8,16],[8,15]]",1.0,1,1.0,"[(8, 1), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13), (8, 14), (8, 15)]",134,1,0,"[1, 1]","[0, 1]",2,0,27
0,0.0,10.0,1,1,8.0,"['+#++##++.--------', '+#######.#######-', '+#.#.......#...#-', '+#.#.#####.#.#.#-', '+#.#.#...#...#.#-', '+#.#.###.#####.#-', '##...#...#.....#-', '+###.#.#######.#-', '+#.....#.......#-', '+#.#####.#####.#-', '+#.#...#.....#.#-', '+#.###.#####.#.#-', '+#...#.....#.#.#-', '+###.###.###.#.#-', '+#.......#...#.#-', '########.#######-', '++++++++.--------']","[8,1]","[8,15]",1,0,1,"[[8,1],[8,0],[9,0],[10,0],[11,0],[12,0],[13,0],[14,0],[15,0],[16,0],[16,1],[16,2],[16,3],[16,4],[16,5],[16,6],[16,7],[16,8],[16,9],[16,10],[16,11],[16,12],[16,13],[16,14],[16,15],[16,16],[15,16],[14,16],[13,16],[12,16],[11,16],[10,16],[9,16],[8,16],[8,15]]",1.0,1,1.0,"[(8, 1), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 12), (4, 12), (4, 13), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (8, 15)]",127,1,0,"[1, 1]","[0, 1]",2,0,27
