trial,trial_best_loss,trial_best_path,loss::path[4] StartTown→A→B→GoalCity,loss::path[4] StartTown→C→F→GoalCity,loss::path[4] StartTown→C→E→GoalCity,loss::path[4] StartTown→I→J→GoalCity,loss::path[4] StartTown→A→E→GoalCity,loss::path[4] StartTown→A→J→GoalCity,loss::path[4] StartTown→D→F→GoalCity,loss::path[4] StartTown→D→J→GoalCity,loss::path[4] StartTown→I→G→GoalCity,loss::path[4] StartTown→A→G→GoalCity,loss::path[4] StartTown→K→F→GoalCity,loss::path[4] StartTown→D→E→GoalCity,loss::path[4] StartTown→K→E→GoalCity,loss::path[5] StartTown→A→J→B→GoalCity,loss::path[5] StartTown→C→E→G→GoalCity,loss::path[5] StartTown→C→F→B→GoalCity,loss::path[5] StartTown→C→H→G→GoalCity,loss::path[5] StartTown→C→H→J→GoalCity,loss::path[5] StartTown→D→E→F→GoalCity,loss::path[5] StartTown→D→J→B→GoalCity,is_opt::path[4] StartTown→A→B→GoalCity,is_opt::path[4] StartTown→C→F→GoalCity,is_opt::path[4] StartTown→C→E→GoalCity,is_opt::path[4] StartTown→I→J→GoalCity,is_opt::path[4] StartTown→A→E→GoalCity,is_opt::path[4] StartTown→A→J→GoalCity,is_opt::path[4] StartTown→D→F→GoalCity,is_opt::path[4] StartTown→D→J→GoalCity,is_opt::path[4] StartTown→I→G→GoalCity,is_opt::path[4] StartTown→A→G→GoalCity,is_opt::path[4] StartTown→K→F→GoalCity,is_opt::path[4] StartTown→D→E→GoalCity,is_opt::path[4] StartTown→K→E→GoalCity,is_opt::path[5] StartTown→A→J→B→GoalCity,is_opt::path[5] StartTown→C→E→G→GoalCity,is_opt::path[5] StartTown→C→F→B→GoalCity,is_opt::path[5] StartTown→C→H→G→GoalCity,is_opt::path[5] StartTown→C→H→J→GoalCity,is_opt::path[5] StartTown→D→E→F→GoalCity,is_opt::path[5] StartTown→D→J→B→GoalCity,n_flights_taken_optimal,lossdiff::path[4] StartTown→A→B→GoalCity,lossdiff::path[4] StartTown→C→F→GoalCity,lossdiff::path[4] StartTown→C→E→GoalCity,lossdiff::path[4] StartTown→I→J→GoalCity,lossdiff::path[4] StartTown→A→E→GoalCity,lossdiff::path[4] StartTown→A→J→GoalCity,lossdiff::path[4] StartTown→D→F→GoalCity,lossdiff::path[4] StartTown→D→J→GoalCity,lossdiff::path[4] StartTown→I→G→GoalCity,lossdiff::path[4] StartTown→A→G→GoalCity,lossdiff::path[4] StartTown→K→F→GoalCity,lossdiff::path[4] StartTown→D→E→GoalCity,lossdiff::path[4] StartTown→K→E→GoalCity,lossdiff::path[5] StartTown→A→J→B→GoalCity,lossdiff::path[5] StartTown→C→E→G→GoalCity,lossdiff::path[5] StartTown→C→F→B→GoalCity,lossdiff::path[5] StartTown→C→H→G→GoalCity,lossdiff::path[5] StartTown→C→H→J→GoalCity,lossdiff::path[5] StartTown→D→E→F→GoalCity,lossdiff::path[5] StartTown→D→J→B→GoalCity
0,1950.0,StartTown→C→F→GoalCity,2650.0,1950.0,3700.0,4500.0,4850.0,4200.0,3350.0,3000.0,4400.0,3050.0,3050.0,3900.0,4550.0,4450.0,2850.0,2850.0,2800.0,3200.0,2850.0,3250.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,700.0,0.0,1750.0,2550.0,2900.0,2250.0,1400.0,1050.0,2450.0,1100.0,1100.0,1950.0,2600.0,2500.0,900.0,900.0,850.0,1250.0,900.0,1300.0
1,1850.0,StartTown→C→F→GoalCity,4500.0,1850.0,2400.0,3000.0,4150.0,3250.0,2550.0,3450.0,3100.0,3650.0,4000.0,3400.0,4650.0,5300.0,4100.0,5950.0,4350.0,4200.0,3550.0,5500.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2650.0,0.0,550.0,1150.0,2300.0,1400.0,700.0,1600.0,1250.0,1800.0,2150.0,1550.0,2800.0,3450.0,2250.0,4100.0,2500.0,2350.0,1700.0,3650.0
2,1750.0,StartTown→I→G→GoalCity,4700.0,2200.0,2600.0,4900.0,3500.0,5300.0,2650.0,3900.0,1750.0,4150.0,2550.0,2700.0,3700.0,6200.0,3700.0,3950.0,3350.0,5100.0,3100.0,4800.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,2950.0,450.0,850.0,3150.0,1750.0,3550.0,900.0,2150.0,0.0,2400.0,800.0,950.0,1950.0,4450.0,1950.0,2200.0,1600.0,3350.0,1350.0,3050.0
3,2900.0,StartTown→K→E→GoalCity,4600.0,3000.0,2950.0,3400.0,3550.0,3600.0,5100.0,4400.0,3950.0,4300.0,3200.0,4350.0,2900.0,5400.0,4800.0,4350.0,5300.0,4400.0,5750.0,6200.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1700.0,100.0,50.0,500.0,650.0,700.0,2200.0,1500.0,1050.0,1400.0,300.0,1450.0,0.0,2500.0,1900.0,1450.0,2400.0,1500.0,2850.0,3300.0
4,2100.0,StartTown→I→J→GoalCity,2950.0,2550.0,2250.0,2100.0,3850.0,2900.0,3050.0,2800.0,3150.0,3100.0,2800.0,3400.0,3500.0,4050.0,3250.0,5450.0,3050.0,2300.0,3600.0,3950.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,850.0,450.0,150.0,0.0,1750.0,800.0,950.0,700.0,1050.0,1000.0,700.0,1300.0,1400.0,1950.0,1150.0,3350.0,950.0,200.0,1500.0,1850.0
5,2100.0,StartTown→I→G→GoalCity,2300.0,3450.0,5100.0,2650.0,2200.0,2400.0,3200.0,4150.0,2100.0,2250.0,2750.0,2800.0,2600.0,4250.0,6150.0,5100.0,4500.0,5350.0,3850.0,6000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,200.0,1350.0,3000.0,550.0,100.0,300.0,1100.0,2050.0,0.0,150.0,650.0,700.0,500.0,2150.0,4050.0,3000.0,2400.0,3250.0,1750.0,3900.0
6,2000.0,StartTown→I→G→GoalCity,2450.0,3200.0,3850.0,4300.0,2750.0,4850.0,3650.0,4700.0,2000.0,4050.0,2550.0,2900.0,2450.0,3750.0,4700.0,4400.0,4450.0,6250.0,5450.0,3600.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,450.0,1200.0,1850.0,2300.0,750.0,2850.0,1650.0,2700.0,0.0,2050.0,550.0,900.0,450.0,1750.0,2700.0,2400.0,2450.0,4250.0,3450.0,1600.0
7,1750.0,StartTown→C→F→GoalCity,3050.0,1750.0,2000.0,4950.0,4800.0,4200.0,2600.0,3000.0,3950.0,4550.0,2450.0,2500.0,2100.0,5750.0,3250.0,2850.0,3100.0,3450.0,3850.0,4550.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1300.0,0.0,250.0,3200.0,3050.0,2450.0,850.0,1250.0,2200.0,2800.0,700.0,750.0,350.0,4000.0,1500.0,1100.0,1350.0,1700.0,2100.0,2800.0
8,1200.0,StartTown→D→J→GoalCity,4300.0,3950.0,2250.0,1800.0,4200.0,4500.0,3350.0,1200.0,2450.0,6350.0,5150.0,2200.0,3200.0,5350.0,4500.0,3050.0,3900.0,2950.0,5200.0,2050.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,3100.0,2750.0,1050.0,600.0,3000.0,3300.0,2150.0,0.0,1250.0,5150.0,3950.0,1000.0,2000.0,4150.0,3300.0,1850.0,2700.0,1750.0,4000.0,850.0
9,2200.0,StartTown→I→J→GoalCity,3250.0,3350.0,2900.0,2200.0,3200.0,3000.0,3750.0,2350.0,3650.0,4300.0,2950.0,2350.0,4650.0,4200.0,4750.0,4500.0,4450.0,3750.0,3350.0,3550.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1050.0,1150.0,700.0,0.0,1000.0,800.0,1550.0,150.0,1450.0,2100.0,750.0,150.0,2450.0,2000.0,2550.0,2300.0,2250.0,1550.0,1150.0,1350.0
